record_id,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
13,1.8172655,-0.45842463,1.6482282,1.6389194,-2.349635,1.650792,-0.19231963,-1.2936869,0.54799587,-0.9020239,0.07742362,1.5450702,-1.1848665,0.10988502,-0.9331237,0.28560323,-0.8012394,0.3171206,-0.9150034,2.082489,-1.4207171,0.65225744,-0.42147198,0.17687681,0.6639048,-1.8231877,-1.1029379,0.9070033,-0.11952493,1.2658935,-1.1966912,-1.1594666
14,1.8631315,0.41478533,2.5423193,3.8219209,-3.6548877,1.7105573,-0.30119747,-2.0147364,2.1204305,-2.0812826,-0.6863186,1.9978459,0.17503929,-2.5888581,-0.92640805,1.413817,-1.5286883,0.5929601,-1.509885,1.9377902,-1.3593539,1.4357344,-0.85446787,0.14811623,0.51807606,-1.4181416,-1.9963987,1.0423102,0.39787316,2.072867,-1.051384,-1.8726485
19,-0.40884995,1.4062195,2.4454138,6.222291,-1.3812927,-0.041263133,-0.1703387,-1.2163998,4.0134706,-2.7478411,-0.068359025,0.42635036,1.4055296,-3.2715387,-0.58347446,4.353559,-1.5554291,0.89519346,-1.9482896,-0.019824661,-0.47373712,0.52096176,-2.0417047,2.1188893,-2.0679493,-1.4143021,-3.382904,1.341116,2.3428726,0.7606291,1.6601698,-3.5646756
16,1.2000208,-1.6991394,1.846677,3.0928743,-1.5804896,-0.9723908,0.7632578,-1.278384,1.1636565,0.7358815,2.1073742,0.91491663,-0.05925496,-0.20888495,-0.46764612,0.56077474,0.8294068,-1.1646442,1.0805038,-0.3868767,-0.18026832,-0.034229852,-2.4783504,0.50619286,-0.4789198,-0.48990977,-0.08065451,-0.20390035,-1.0493116,-0.14273132,-1.5983346,-1.8667523
15,1.8812773,0.27314728,3.00485,5.294136,-2.192914,0.082829416,1.1306891,-1.4462172,1.4788376,-2.2292023,0.5268789,2.7968242,-1.1472428,-1.5463073,-0.6680176,2.0123603,-0.69696444,-0.016660273,-1.2391374,0.19892463,-0.21959603,2.1741567,-1.4773033,0.29763752,-0.26772252,-2.3451328,-2.1678874,1.0580484,-0.16986865,1.5731281,-0.22469094,-1.7039818
17,1.7550318,-1.6044754,0.50964695,-1.2397672,-4.6629767,1.7565118,-1.2358649,-1.3908126,1.5310153,4.2457476,0.24980079,-0.83343756,1.4434261,0.14846274,-0.50172806,-2.8574998,-0.2876605,-1.5232565,0.36149153,4.295446,0.91978264,-1.7663772,0.4800841,1.0916668,0.25236675,0.06787303,0.6076682,-0.59612584,-3.4016843,0.96283495,-5.925298,0.58546644
21,0.8771756,0.745798,1.7659003,4.5253057,-3.874835,1.2244916,-0.7661828,-1.5981736,3.825429,-1.8505069,-0.7672236,0.6186479,2.3620157,-3.299513,-1.0300642,2.6212618,-2.6052802,1.5252289,-2.0957375,2.1405828,-2.4329147,-0.33669946,-1.1421269,0.9685606,-0.22750598,-0.5726205,-2.1034744,1.2204493,1.2182347,0.85531616,-0.8995571,-1.4161406
18,1.3042258,-1.2906762,-0.084857196,-1.6595106,-3.3356972,1.5248767,-0.94861776,-0.89419097,1.1325581,3.454156,1.887446,-1.0307754,-0.018707246,2.281957,-0.70173836,-1.9421034,0.048023865,-1.3543077,0.25190774,4.2854686,-0.923483,-2.48678,0.16263133,2.6483836,0.67069197,-1.9499909,-0.11336789,0.6206113,-3.0943077,0.8317826,-4.7408967,0.09224975
20,0.99513745,-1.3788288,0.11608769,-2.903581,-2.8366864,2.1760223,-0.85884523,-1.3278421,1.2893915,4.4831724,2.1023934,-1.0113465,-0.8514372,2.3976665,-0.7203374,-3.4746664,0.9000775,-1.9532179,0.15697646,5.822064,-0.22228417,-2.6329274,-0.0650606,2.8666472,0.029792309,-2.1131368,0.6795746,0.78453594,-3.4317982,1.3787892,-5.100432,-0.19096941
22,1.0405984,-0.79842764,1.1650233,3.4134388,-2.506001,0.3548394,1.0523753,1.420195,-0.589115,0.163567,-0.045348957,0.8070824,-0.9219286,-0.58543783,-0.5660251,-0.86680377,-0.050246887,-0.00425753,-4.0194416,0.29990146,3.2262716,1.3059833,-0.5034641,-1.4920841,-0.45698512,0.82018995,0.41245505,0.06360707,-1.9025198,2.4605043,-2.6651049,-1.0664306
24,0.77365166,-0.013917871,3.5914795,6.553791,0.18130033,0.597824,0.56911755,-0.21347837,0.9651899,0.36983597,-1.5020337,1.7777516,-0.9671815,-3.027531,0.26602542,1.0709109,-1.131021,-0.8631531,-1.5452309,-0.054694228,3.1793842,0.89068264,0.118757695,0.3133478,-3.006375,-1.5686724,-1.7451305,-1.9562207,0.645219,0.9492333,2.5432396,-0.68717706
25,1.9747529,0.2006903,1.85453,1.6995413,-3.738154,1.1395823,-0.7182914,-0.9627747,0.40726265,-0.980971,-0.17699333,1.3123145,-0.40684634,0.0042417496,-0.78761613,0.50287014,-0.5934573,0.23330143,0.16122544,2.3428876,-0.79378927,0.043101028,0.14822638,0.89304245,1.0141034,-1.3177061,-1.7010257,0.5959924,-0.71146935,0.6295352,-2.7181375,0.39266837
23,0.9250891,-3.187564,-0.26020393,-1.780296,-1.9538196,0.71352506,-0.6465889,-1.298087,1.2645967,4.5503364,3.0035863,-2.1631947,-0.16691019,2.21552,0.58765876,-1.6917124,1.5659252,-2.0577033,1.5403566,2.390235,-1.4035071,-1.5099741,-2.372196,1.7156157,-0.27331093,-0.43958524,1.8789219,0.48129964,-3.4606736,-0.47306174,-4.2377415,-1.1357113
27,1.1978445,0.2582388,1.9089506,3.33627,-0.51126903,0.42144883,0.8101185,0.24835804,0.33868104,-0.96417356,-0.3793693,2.135564,-0.64265335,-1.4922007,0.3422741,-0.19824582,-0.61031336,0.3971767,-2.1629915,0.8722841,1.6997759,0.5888193,-0.17290883,-1.2176851,-0.8530786,-0.8943739,-0.6204338,0.3967972,-0.2611845,0.11161496,0.72749734,0.1957782
26,0.5101831,0.35933745,1.6812781,-2.2752628,-1.1561542,3.0619116,-0.6975851,0.7113397,-1.6719046,-0.013155013,-1.5142976,-0.38943747,0.6037809,1.0295856,-0.28831327,-2.1688883,0.06978504,-1.1328095,-0.31365559,1.5057671,1.9634966,-0.036783688,2.0957613,-0.07096712,0.32247755,-0.6683985,-0.49432927,-0.351412,0.17700905,0.9147984,-1.2192879,-2.8842611
29,2.4009705,-1.7895501,1.5762713,3.253769,-2.7838411,-0.13274914,1.0878811,-0.1249492,0.08378418,1.1151004,0.7084549,1.8467667,-2.316037,0.32984096,-1.3044422,-0.718053,0.07138842,-0.39506266,-2.2001858,0.8766058,1.7635741,0.8064491,-1.5347929,-0.5689027,-0.6498271,-0.23220764,0.56803054,-0.57637715,-2.1252549,2.3108714,-3.5940638,-0.41908628
28,1.1963344,0.9328357,1.546618,-2.6864417,-2.5033948,1.3080312,-0.5389531,0.750813,-1.3860351,-0.7210567,-1.1491761,-0.39229485,0.3727908,1.959283,0.9008572,-1.5177896,0.89296633,-0.44417182,1.0443318,1.579906,1.8669857,0.4147819,1.1122806,0.37499124,1.050584,-1.3139404,-0.98886967,0.49757332,-1.0471509,-0.19406453,-3.2918801,-0.96049255
